Annual Total,Hydroelectric Industrial    ,Geothermal Industrial    ,Solar Industrial    ,Wind Industrial    ,Wood  Industrial    ,Waste Industrial    ,Fuel Ethanol Industrial    ,Biomass Co-products Industrial    ,Biomass  Industrial    
1949,75.537,Not Available,Not Available,Not Available,468.287,Not Available,Not Available,Not Available,468.287
1950,69.396,Not Available,Not Available,Not Available,532.237,Not Available,Not Available,Not Available,532.237
1951,63.097,Not Available,Not Available,Not Available,552.928,Not Available,Not Available,Not Available,552.928
1952,61.538,Not Available,Not Available,Not Available,551.656,Not Available,Not Available,Not Available,551.656
1953,56.506,Not Available,Not Available,Not Available,565.897,Not Available,Not Available,Not Available,565.897
1954,55.678,Not Available,Not Available,Not Available,576.2,Not Available,Not Available,Not Available,576.2
1955,38.149,Not Available,Not Available,Not Available,631.137,Not Available,Not Available,Not Available,631.137
1956,36.751,Not Available,Not Available,Not Available,661.409,Not Available,Not Available,Not Available,661.409
1957,35.521,Not Available,Not Available,Not Available,616.431,Not Available,Not Available,Not Available,616.431
1958,37.162,Not Available,Not Available,Not Available,619.647,Not Available,Not Available,Not Available,619.647
1959,37.003,Not Available,Not Available,Not Available,691.973,Not Available,Not Available,Not Available,691.973
1960,38.808,Not Available,Not Available,Not Available,679.864,Not Available,Not Available,Not Available,679.864
1961,35.836,Not Available,Not Available,Not Available,695.413,Not Available,Not Available,Not Available,695.413
1962,35.99,Not Available,Not Available,Not Available,728.179,Not Available,Not Available,Not Available,728.179
1963,33.914,Not Available,Not Available,Not Available,774.843,Not Available,Not Available,Not Available,774.843
1964,33.772,Not Available,Not Available,Not Available,826.735,Not Available,Not Available,Not Available,826.735
1965,32.757,Not Available,Not Available,Not Available,854.943,Not Available,Not Available,Not Available,854.943
1966,33.138,Not Available,Not Available,Not Available,901.916,Not Available,Not Available,Not Available,901.916
1967,35.787,Not Available,Not Available,Not Available,894.658,Not Available,Not Available,Not Available,894.658
1968,35.172,Not Available,Not Available,Not Available,981.948,Not Available,Not Available,Not Available,981.948
1969,34.22,Not Available,Not Available,Not Available,1014.232,Not Available,Not Available,Not Available,1014.232
1970,34.04,Not Available,Not Available,Not Available,1018.911,Not Available,Not Available,Not Available,1018.911
1971,33.746,Not Available,Not Available,Not Available,1039.998,Not Available,Not Available,Not Available,1039.998
1972,34.42,Not Available,Not Available,Not Available,1112.668,Not Available,Not Available,Not Available,1112.668
1973,34.773,Not Available,Not Available,Not Available,1164.853,Not Available,Not Available,Not Available,1164.853
1974,33.202,Not Available,Not Available,Not Available,1159.074,Not Available,Not Available,Not Available,1159.074
1975,32.321,Not Available,Not Available,Not Available,1063.27,Not Available,Not Available,Not Available,1063.27
1976,33.372,Not Available,Not Available,Not Available,1219.876,Not Available,Not Available,Not Available,1219.876
1977,32.601,Not Available,Not Available,Not Available,1281.245,Not Available,Not Available,Not Available,1281.245
1978,31.563,Not Available,Not Available,Not Available,1400.424,Not Available,Not Available,Not Available,1400.424
1979,34.094,Not Available,Not Available,Not Available,1404.862,Not Available,Not Available,Not Available,1404.862
1980,32.838,Not Available,Not Available,Not Available,1600,Not Available,Not Available,Not Available,1600
1981,33.043,Not Available,Not Available,Not Available,1602,86.718,0.087,5.86,1694.665
