Annual Total,Geothermal Residential ,Solar Residential,Wood Residential,Hydroelectric Commercial,Geothermal  Commercial,Solar Commercial,Wind Commercial,Wood Commercial,Waste  Commercial,Fuel Ethanol Commercial,Biomass Commercial
1949,Not Available,Not Available,1055.186,Not Available,Not Available,Not Available,Not Available,19.986,Not Available,Not Available,19.986
1950,Not Available,Not Available,1005.529,Not Available,Not Available,Not Available,Not Available,19.075,Not Available,Not Available,19.075
1951,Not Available,Not Available,958.212,Not Available,Not Available,Not Available,Not Available,18.198,Not Available,Not Available,18.198
1952,Not Available,Not Available,899.164,Not Available,Not Available,Not Available,Not Available,17.114,Not Available,Not Available,17.114
1953,Not Available,Not Available,831.947,Not Available,Not Available,Not Available,Not Available,15.738,Not Available,Not Available,15.738
1954,Not Available,Not Available,799.748,Not Available,Not Available,Not Available,Not Available,15.17,Not Available,Not Available,15.17
1955,Not Available,Not Available,775.066,Not Available,Not Available,Not Available,Not Available,14.706,Not Available,Not Available,14.706
1956,Not Available,Not Available,738.706,Not Available,Not Available,Not Available,Not Available,14.018,Not Available,Not Available,14.018
1957,Not Available,Not Available,701.812,Not Available,Not Available,Not Available,Not Available,13.33,Not Available,Not Available,13.33
1958,Not Available,Not Available,688.447,Not Available,Not Available,Not Available,Not Available,13.089,Not Available,Not Available,13.089
1959,Not Available,Not Available,646.926,Not Available,Not Available,Not Available,Not Available,12.298,Not Available,Not Available,12.298
1960,Not Available,Not Available,626.63,Not Available,Not Available,Not Available,Not Available,11.868,Not Available,Not Available,11.868
1961,Not Available,Not Available,586.864,Not Available,Not Available,Not Available,Not Available,11.146,Not Available,Not Available,11.146
1962,Not Available,Not Available,560.084,Not Available,Not Available,Not Available,Not Available,10.63,Not Available,Not Available,10.63
1963,Not Available,Not Available,536.967,Not Available,Not Available,Not Available,Not Available,10.165,Not Available,Not Available,10.165
1964,Not Available,Not Available,499.058,Not Available,Not Available,Not Available,Not Available,9.46,Not Available,Not Available,9.46
1965,Not Available,Not Available,468.15,Not Available,Not Available,Not Available,Not Available,8.858,Not Available,Not Available,8.858
1966,Not Available,Not Available,454.974,Not Available,Not Available,Not Available,Not Available,8.617,Not Available,Not Available,8.617
