Annual Total,Fuel Ethanol Transportation ,Biodiesel   Transportation , Diesel Fuel   Transportation  ,Other Biofuels   Transportation  ,Biomass    Transportation ,Hydroelectric  Transportation ,Geothermal Transportation ,Solar Transportation,Wind  Transportation ,Wood Transportation ,Waste    Electric Transportation ,Biomass Transportation 
1949,Not Available,Not Available,Not Available,Not Available,Not Available,1349.185,Not Available,Not Available,Not Available,5.803,Not Available,5.803
1950,Not Available,Not Available,Not Available,Not Available,Not Available,1346.015,Not Available,Not Available,Not Available,5.466,Not Available,5.466
1951,Not Available,Not Available,Not Available,Not Available,Not Available,1360.698,Not Available,Not Available,Not Available,5.331,Not Available,5.331
1952,Not Available,Not Available,Not Available,Not Available,Not Available,1404.274,Not Available,Not Available,Not Available,6.435,Not Available,6.435
1953,Not Available,Not Available,Not Available,Not Available,Not Available,1356.353,Not Available,Not Available,Not Available,5.019,Not Available,5.019
1954,Not Available,Not Available,Not Available,Not Available,Not Available,1304.094,Not Available,Not Available,Not Available,3.209,Not Available,3.209
1955,Not Available,Not Available,Not Available,Not Available,Not Available,1321.695,Not Available,Not Available,Not Available,3.234,Not Available,3.234
1956,Not Available,Not Available,Not Available,Not Available,Not Available,1397.96,Not Available,Not Available,Not Available,1.738,Not Available,1.738
1957,Not Available,Not Available,Not Available,Not Available,Not Available,1480.092,Not Available,Not Available,Not Available,2.008,Not Available,2.008
1958,Not Available,Not Available,Not Available,Not Available,Not Available,1554.805,Not Available,Not Available,Not Available,1.94,Not Available,1.94
1959,Not Available,Not Available,Not Available,Not Available,Not Available,1511.462,Not Available,Not Available,Not Available,1.677,Not Available,1.677
1960,Not Available,Not Available,Not Available,Not Available,Not Available,1569.167,0.359,Not Available,Not Available,1.508,Not Available,1.508
1961,Not Available,Not Available,Not Available,Not Available,Not Available,1620.627,1.001,Not Available,Not Available,1.339,Not Available,1.339
1962,Not Available,Not Available,Not Available,Not Available,Not Available,1780.151,1.061,Not Available,Not Available,1.349,Not Available,1.349
1963,Not Available,Not Available,Not Available,Not Available,Not Available,1737.441,1.76,Not Available,Not Available,1.341,Not Available,1.341
1964,Not Available,Not Available,Not Available,Not Available,Not Available,1852.542,2.132,Not Available,Not Available,1.549,Not Available,1.549
1965,Not Available,Not Available,Not Available,Not Available,Not Available,2026.32,1.978,Not Available,Not Available,2.81,Not Available,2.81
1966,Not Available,Not Available,Not Available,Not Available,Not Available,2028.381,1.958,Not Available,Not Available,3.478,Not Available,3.478
1967,Not Available,Not Available,Not Available,Not Available,Not Available,2310.877,3.3,Not Available,Not Available,3.293,Not Available,3.293
1968,Not Available,Not Available,Not Available,Not Available,Not Available,2313.457,4.532,Not Available,Not Available,3.9,Not Available,3.9
1969,Not Available,Not Available,Not Available,Not Available,Not Available,2613.763,6.422,Not Available,Not Available,3.342,Not Available,3.342
