Year,source,energy_type,total_btu,full_source,highlight_col,name_lab
1949,Commercial,Geothermal,17096.664,"Geothermal, Commercial",other,NA
1949,Commercial,Hydroelectric,0,"Hydroelectric, Commercial",other,NA
1949,Commercial,Solar,17096.664,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1949,Commercial,Wind,22795.552,"Wind, Commercial",other,NA
1949,Industrial,Geothermal,17096.664,"Geothermal, Industrial",other,NA
1949,Industrial,Hydroelectric,3625.7760000000003,"Hydroelectric, Industrial",other,NA
1949,Industrial,Solar,17096.664,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1949,Industrial,Wind,22795.552,"Wind, Industrial",other,NA
1949,Residential,Geothermal,17096.664,"Geothermal, Residential",other,NA
1949,Residential,Solar,17096.664,"Solar, Residential","Solar, Residential","Solar, Residential"
1949,Transportation,Geothermal,17096.664,"Geothermal, Transportation",other,NA
1949,Transportation,Hydroelectric,64760.88,"Hydroelectric, Transportation",other,NA
1949,Transportation,Solar,17096.664,"Solar, Transportation",other,NA
1949,Transportation,Wind,22795.552,"Wind, Transportation",other,NA
1950,Commercial,Geothermal,16984.932,"Geothermal, Commercial",other,NA
1950,Commercial,Hydroelectric,0,"Hydroelectric, Commercial",other,NA
1950,Commercial,Solar,16984.932,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1950,Commercial,Wind,22646.576,"Wind, Commercial",other,NA
1950,Industrial,Geothermal,16984.932,"Geothermal, Industrial",other,NA
1950,Industrial,Hydroelectric,3331.008,"Hydroelectric, Industrial",other,NA
1950,Industrial,Solar,16984.932,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1950,Industrial,Wind,22646.576,"Wind, Industrial",other,NA
1950,Residential,Geothermal,16984.932,"Geothermal, Residential",other,NA
1950,Residential,Solar,16984.932,"Solar, Residential","Solar, Residential","Solar, Residential"
1950,Transportation,Geothermal,16984.932,"Geothermal, Transportation",other,NA
1950,Transportation,Hydroelectric,64608.72,"Hydroelectric, Transportation",other,NA
1950,Transportation,Solar,16984.932,"Solar, Transportation",other,NA
1950,Transportation,Wind,22646.576,"Wind, Transportation",other,NA
1951,Commercial,Geothermal,17085.54,"Geothermal, Commercial",other,NA
1951,Commercial,Hydroelectric,0,"Hydroelectric, Commercial",other,NA
1951,Commercial,Solar,17085.54,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1951,Commercial,Wind,22780.72,"Wind, Commercial",other,NA
1951,Industrial,Geothermal,17085.54,"Geothermal, Industrial",other,NA
1951,Industrial,Hydroelectric,3028.656,"Hydroelectric, Industrial",other,NA
