Year,BTUs,Column_Order,Sector
1989,2.792,1,Small-Scale Solar Energy Consumption for Heat: Total
1989,3.01,1,Small-Scale Solar Energy Consumption for Heat: Total
1989,4.147,1,Small-Scale Solar Energy Consumption for Heat: Total
1989,4.571,1,Small-Scale Solar Energy Consumption for Heat: Total
1989,5.046,1,Small-Scale Solar Energy Consumption for Heat: Total
1989,5.092,1,Small-Scale Solar Energy Consumption for Heat: Total
1989,5.345,1,Small-Scale Solar Energy Consumption for Heat: Total
1989,5.29,1,Small-Scale Solar Energy Consumption for Heat: Total
1989,4.825,1,Small-Scale Solar Energy Consumption for Heat: Total
1989,4.397,1,Small-Scale Solar Energy Consumption for Heat: Total
1989,3.607,1,Small-Scale Solar Energy Consumption for Heat: Total
1989,3.424,1,Small-Scale Solar Energy Consumption for Heat: Total
1990,2.958,1,Small-Scale Solar Energy Consumption for Heat: Total
1990,3.189,1,Small-Scale Solar Energy Consumption for Heat: Total
1990,4.393,1,Small-Scale Solar Energy Consumption for Heat: Total
1990,4.842,1,Small-Scale Solar Energy Consumption for Heat: Total
1990,5.345,1,Small-Scale Solar Energy Consumption for Heat: Total
1990,5.394,1,Small-Scale Solar Energy Consumption for Heat: Total
1990,5.662,1,Small-Scale Solar Energy Consumption for Heat: Total
1990,5.603,1,Small-Scale Solar Energy Consumption for Heat: Total
1990,5.111,1,Small-Scale Solar Energy Consumption for Heat: Total
1990,4.658,1,Small-Scale Solar Energy Consumption for Heat: Total
1990,3.821,1,Small-Scale Solar Energy Consumption for Heat: Total
1990,3.627,1,Small-Scale Solar Energy Consumption for Heat: Total
1991,3.051,1,Small-Scale Solar Energy Consumption for Heat: Total
1991,3.288,1,Small-Scale Solar Energy Consumption for Heat: Total
1991,4.531,1,Small-Scale Solar Energy Consumption for Heat: Total
1991,4.994,1,Small-Scale Solar Energy Consumption for Heat: Total
1991,5.513,1,Small-Scale Solar Energy Consumption for Heat: Total
1991,5.562,1,Small-Scale Solar Energy Consumption for Heat: Total
1991,5.839,1,Small-Scale Solar Energy Consumption for Heat: Total
1991,5.779,1,Small-Scale Solar Energy Consumption for Heat: Total
1991,5.27,1,Small-Scale Solar Energy Consumption for Heat: Total
1991,4.804,1,Small-Scale Solar Energy Consumption for Heat: Total
1991,3.94,1,Small-Scale Solar Energy Consumption for Heat: Total
1991,3.74,1,Small-Scale Solar Energy Consumption for Heat: Total
1992,3.16,1,Small-Scale Solar Energy Consumption for Heat: Total
1992,3.406,1,Small-Scale Solar Energy Consumption for Heat: Total
1992,4.693,1,Small-Scale Solar Energy Consumption for Heat: Total
1992,5.172,1,Small-Scale Solar Energy Consumption for Heat: Total
1992,5.71,1,Small-Scale Solar Energy Consumption for Heat: Total
1992,5.761,1,Small-Scale Solar Energy Consumption for Heat: Total
1992,6.048,1,Small-Scale Solar Energy Consumption for Heat: Total
1992,5.985,1,Small-Scale Solar Energy Consumption for Heat: Total
1992,5.459,1,Small-Scale Solar Energy Consumption for Heat: Total
1992,4.975,1,Small-Scale Solar Energy Consumption for Heat: Total
